"Census Data API: Variables in /data/1990/sf3/variables
Name",Label,Concept,Required,Attributes,Limit,Predicate Type,Group,Values
P014A024,White Male: 55 to 59 years,Population Subjects,not required, ,0,int,N/A,N/A
P014A025,White Male: 60 and 61 years,Population Subjects,not required, ,0,int,N/A,N/A
P014A026,White Male: 62 to 64 years,Population Subjects,not required, ,0,int,N/A,N/A
P014A027,White Male: 65 to 69 years,Population Subjects,not required, ,0,int,N/A,N/A
P014A028,White Male: 70 to 74 years,Population Subjects,not required, ,0,int,N/A,N/A
P014A029,White Male: 75 to 79 years,Population Subjects,not required, ,0,int,N/A,N/A
P014A030,White Male: 80 to 84 years,Population Subjects,not required, ,0,int,N/A,N/A
P014A031,White Male: 85 years and over,Population Subjects,not required, ,0,int,N/A,N/A
P014B001,White Female: Under 1 year,Population Subjects,not required, ,0,int,N/A,N/A
P014B002,White Female: 1 and 2 years,Population Subjects,not required, ,0,int,N/A,N/A
P014B003,White Female: 3 and 4 years,Population Subjects,not required, ,0,int,N/A,N/A
P014B004,White Female: 5 years,Population Subjects,not required, ,0,int,N/A,N/A
P014B005,White Female: 6 years,Population Subjects,not required, ,0,int,N/A,N/A
P014B006,White Female: 7 to 9 years,Population Subjects,not required, ,0,int,N/A,N/A
P014B007,White Female: 10 and 11 years,Population Subjects,not required, ,0,int,N/A,N/A
P014B008,White Female: 12 and 13 years,Population Subjects,not required, ,0,int,N/A,N/A
P014B009,White Female: 14 years,Population Subjects,not required, ,0,int,N/A,N/A
P014B010,White Female: 15 years,Population Subjects,not required, ,0,int,N/A,N/A
P014B011,White Female: 16 years,Population Subjects,not required, ,0,int,N/A,N/A
P014B012,White Female: 17 years,Population Subjects,not required, ,0,int,N/A,N/A
P014B013,White Female: 18 years,Population Subjects,not required, ,0,int,N/A,N/A
P014B014,White Female: 19 years,Population Subjects,not required, ,0,int,N/A,N/A
P014B015,White Female: 20 years,Population Subjects,not required, ,0,int,N/A,N/A
P014B016,White Female: 21 years,Population Subjects,not required, ,0,int,N/A,N/A
P014B017,White Female: 22 to 24 years,Population Subjects,not required, ,0,int,N/A,N/A
P014B018,White Female: 25 to 29 years,Population Subjects,not required, ,0,int,N/A,N/A
P014B019,White Female: 30 to 34 years,Population Subjects,not required, ,0,int,N/A,N/A
P014B020,White Female: 35 to 39 years,Population Subjects,not required, ,0,int,N/A,N/A
P014B021,White Female: 40 to 44 years,Population Subjects,not required, ,0,int,N/A,N/A
P014B022,White Female: 45 to 49 years,Population Subjects,not required, ,0,int,N/A,N/A
P014B023,White Female: 50 to 54 years,Population Subjects,not required, ,0,int,N/A,N/A
P014B024,White Female: 55 to 59 years,Population Subjects,not required, ,0,int,N/A,N/A
P014B025,White Female: 60 and 61 years,Population Subjects,not required, ,0,int,N/A,N/A
P014B026,White Female: 62 to 64 years,Population Subjects,not required, ,0,int,N/A,N/A
P014B027,White Female: 65 to 69 years,Population Subjects,not required, ,0,int,N/A,N/A
P014B028,White Female: 70 to 74 years,Population Subjects,not required, ,0,int,N/A,N/A
P014B029,White Female: 75 to 79 years,Population Subjects,not required, ,0,int,N/A,N/A
P014B030,White Female: 80 to 84 years,Population Subjects,not required, ,0,int,N/A,N/A
P014B031,White Female: 85 years and over,Population Subjects,not required, ,0,int,N/A,N/A
P014C001,Black Male: Under 1 year,Population Subjects,not required, ,0,int,N/A,N/A
P014C002,Black Male: 1 and 2 years,Population Subjects,not required, ,0,int,N/A,N/A
P014C003,Black Male: 3 and 4 years,Population Subjects,not required, ,0,int,N/A,N/A
P014C004,Black Male: 5 years,Population Subjects,not required, ,0,int,N/A,N/A
P014C005,Black Male: 6 years,Population Subjects,not required, ,0,int,N/A,N/A
P014C006,Black Male: 7 to 9 years,Population Subjects,not required, ,0,int,N/A,N/A
P014C007,Black Male: 10 and 11 years,Population Subjects,not required, ,0,int,N/A,N/A
P014C008,Black Male: 12 and 13 years,Population Subjects,not required, ,0,int,N/A,N/A
P014C009,Black Male: 14 years,Population Subjects,not required, ,0,int,N/A,N/A
P014C010,Black Male: 15 years,Population Subjects,not required, ,0,int,N/A,N/A
P014C011,Black Male: 16 years,Population Subjects,not required, ,0,int,N/A,N/A
P014C012,Black Male: 17 years,Population Subjects,not required, ,0,int,N/A,N/A
P014C013,Black Male: 18 years,Population Subjects,not required, ,0,int,N/A,N/A
P014C014,Black Male: 19 years,Population Subjects,not required, ,0,int,N/A,N/A
P014C015,Black Male: 20 years,Population Subjects,not required, ,0,int,N/A,N/A
P014C016,Black Male: 21 years,Population Subjects,not required, ,0,int,N/A,N/A
P014C017,Black Male: 22 to 24 years,Population Subjects,not required, ,0,int,N/A,N/A
P014C018,Black Male: 25 to 29 years,Population Subjects,not required, ,0,int,N/A,N/A
P014C019,Black Male: 30 to 34 years,Population Subjects,not required, ,0,int,N/A,N/A
P014C020,Black Male: 35 to 39 years,Population Subjects,not required, ,0,int,N/A,N/A
P014C021,Black Male: 40 to 44 years,Population Subjects,not required, ,0,int,N/A,N/A
P014C022,Black Male: 45 to 49 years,Population Subjects,not required, ,0,int,N/A,N/A
P014C023,Black Male: 50 to 54 years,Population Subjects,not required, ,0,int,N/A,N/A
P014C024,Black Male: 55 to 59 years,Population Subjects,not required, ,0,int,N/A,N/A
P014C025,Black Male: 60 and 61 years,Population Subjects,not required, ,0,int,N/A,N/A
P014C026,Black Male: 62 to 64 years,Population Subjects,not required, ,0,int,N/A,N/A
P014C027,Black Male: 65 to 69 years,Population Subjects,not required, ,0,int,N/A,N/A
P014C028,Black Male: 70 to 74 years,Population Subjects,not required, ,0,int,N/A,N/A
P014C029,Black Male: 75 to 79 years,Population Subjects,not required, ,0,int,N/A,N/A
P014C030,Black Male: 80 to 84 years,Population Subjects,not required, ,0,int,N/A,N/A
P014C031,Black Male: 85 years and over,Population Subjects,not required, ,0,int,N/A,N/A
P014D001,Black Female: Under 1 yr,Population Subjects,not required, ,0,int,N/A,N/A
P014D002,Black Female: 1-2 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014D003,Black Female: 3-4 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014D004,Black Female: 5 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014D005,Black Female: 6 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014D006,Black Female: 7 to 9 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014D007,Black Female: 10-11 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014D008,Black Female: 12-13 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014D009,Black Female: 14 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014D010,Black Female: 15 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014D011,Black Female: 16 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014D012,Black Female: 17 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014D013,Black Female: 18 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014D014,Black Female: 19 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014D015,Black Female: 20 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014D016,Black Female: 21 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014D017,Black Female: 22 to 24 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014D018,Black Female: 25 to 29 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014D019,Black Female: 30 to 34 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014D020,Black Female: 35 to 39 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014D021,Black Female: 40 to 44 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014D022,Black Female: 45 to 49 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014D023,Black Female: 50 to 54 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014D024,Black Female: 55 to 59 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014D025,Black Female: 60-61 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014D026,Black Female: 62 to 64 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014D027,Black Female: 65 to 69 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014D028,Black Female: 70 to 74 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014D029,Black Female: 75 to 79 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014D030,Black Female: 80 to 84 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014D031,Black Female: 85 yrs-over,Population Subjects,not required, ,0,int,N/A,N/A
P014E001,Amer Indian/Eskimo/Aleut Male: Under 1 y,Population Subjects,not required, ,0,int,N/A,N/A
P014E002,Amer Indian/Eskimo/Aleut Male: 1-2 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014E003,Amer Indian/Eskimo/Aleut Male: 3-4 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014E004,Amer Indian/Eskimo/Aleut Male: 5 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014E005,Amer Indian/Eskimo/Aleut Male: 6 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014E006,Amer Indian/Eskimo/Aleut Male: 7 to 9 yr,Population Subjects,not required, ,0,int,N/A,N/A
P014E007,Amer Indian/Eskimo/Aleut Male: 10-11 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014E008,Amer Indian/Eskimo/Aleut Male: 12-13 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014E009,Amer Indian/Eskimo/Aleut Male: 14 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014E010,Amer Indian/Eskimo/Aleut Male: 15 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014E011,Amer Indian/Eskimo/Aleut Male: 16 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014E012,Amer Indian/Eskimo/Aleut Male: 17 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014E013,Amer Indian/Eskimo/Aleut Male: 18 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014E014,Amer Indian/Eskimo/Aleut Male: 19 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014E015,Amer Indian/Eskimo/Aleut Male: 20 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014E016,Amer Indian/Eskimo/Aleut Male: 21 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014E017,Amer Indian/Eskimo/Aleut Male: 22-24 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014E018,Amer Indian/Eskimo/Aleut Male: 25-29 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014E019,Amer Indian/Eskimo/Aleut Male: 30-34 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014E020,Amer Indian/Eskimo/Aleut Male: 35-39 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014E021,Amer Indian/Eskimo/Aleut Male: 40-44 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014E022,Amer Indian/Eskimo/Aleut Male: 45-49 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014E023,Amer Indian/Eskimo/Aleut Male: 50-54 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014E024,Amer Indian/Eskimo/Aleut Male: 55-59 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014E025,Amer Indian/Eskimo/Aleut Male: 60-61 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014E026,Amer Indian/Eskimo/Aleut Male: 62-64 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014E027,Amer Indian/Eskimo/Aleut Male: 65-69 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014E028,Amer Indian/Eskimo/Aleut Male: 70-74 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014E029,Amer Indian/Eskimo/Aleut Male: 75-79 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014E030,Amer Indian/Eskimo/Aleut Male: 80-84 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014E031,Amer Indian/Eskimo/Aleut Male: 85-over,Population Subjects,not required, ,0,int,N/A,N/A
P014F001,Am Indian/Eskimo/Aleut Female: Under 1,Population Subjects,not required, ,0,int,N/A,N/A
P014F002,Am Indian/Eskimo/Aleut Female: 1-2 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014F003,Am Indian/Eskimo/Aleut Female: 3-4 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014F004,Am Indian/Eskimo/Aleut Female: 5 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014F005,Am Indian/Eskimo/Aleut Female: 6 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014F006,Am Indian/Eskimo/Aleut Female: 7-9 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014F007,Am Indian/Eskimo/Aleut Female: 10-11 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014F008,Am Indian/Eskimo/Aleut Female: 12-13 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014F009,Am Indian/Eskimo/Aleut Female: 14 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014F010,Am Indian/Eskimo/Aleut Female: 15 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014F011,Am Indian/Eskimo/Aleut Female: 16 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014F012,Am Indian/Eskimo/Aleut Female: 17 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014F013,Am Indian/Eskimo/Aleut Female: 18 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014F014,Am Indian/Eskimo/Aleut Female: 19 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014F015,Am Indian/Eskimo/Aleut Female: 20 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014F016,Am Indian/Eskimo/Aleut Female: 21 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014F017,Am Indian/Eskimo/Aleut Female: 22-24 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014F018,Am Indian/Eskimo/Aleut Female: 25-29 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014F019,Am Indian/Eskimo/Aleut Female: 30-34 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014F020,Am Indian/Eskimo/Aleut Female: 35-39 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014F021,Am Indian/Eskimo/Aleut Female: 40-44 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014F022,Am Indian/Eskimo/Aleut Female: 45-49 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014F023,Am Indian/Eskimo/Aleut Female: 50-54 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014F024,Am Indian/Eskimo/Aleut Female: 55-59 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014F025,Am Indian/Eskimo/Aleut Female: 60-61 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014F026,Am Indian/Eskimo/Aleut Female: 62-64 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014F027,Am Indian/Eskimo/Aleut Female: 65-69 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014F028,Am Indian/Eskimo/Aleut Female: 70-74 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014F029,Am Indian/Eskimo/Aleut Female: 75-79 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014F030,Am Indian/Eskimo/Aleut Female: 80-84 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014F031,Am Indian/Eskimo/Aleut Female: 85-over,Population Subjects,not required, ,0,int,N/A,N/A
P014G001,Asian/Pacific Islander Male: Under 1 yr,Population Subjects,not required, ,0,int,N/A,N/A
P014G002,Asian/Pacific Islander Male: 1-2 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014G003,Asian/Pacific Islander Male: 3-4 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014G004,Asian/Pacific Islander Male: 5 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014G005,Asian/Pacific Islander Male: 6 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014G006,Asian/Pacific Islander Male: 7-9 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014G007,Asian/Pacific Islander Male: 10-11 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014G008,Asian/Pacific Islander Male: 12-13 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014G009,Asian/Pacific Islander Male: 14 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014G010,Asian/Pacific Islander Male: 15 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014G011,Asian/Pacific Islander Male: 16 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014G012,Asian/Pacific Islander Male: 17 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014G013,Asian/Pacific Islander Male: 18 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014G014,Asian/Pacific Islander Male: 19 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014G015,Asian/Pacific Islander Male: 20 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014G016,Asian/Pacific Islander Male: 21 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014G017,Asian/Pacific Islander Male: 22-24 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014G018,Asian/Pacific Islander Male: 25-29 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014G019,Asian/Pacific Islander Male: 30-34 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014G020,Asian/Pacific Islander Male: 35-39 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014G021,Asian/Pacific Islander Male: 40-44 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014G022,Asian/Pacific Islander Male: 45-49 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014G023,Asian/Pacific Islander Male: 50-54 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014G024,Asian/Pacific Islander Male: 55-59 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014G025,Asian/Pacific Islander Male: 60-61 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014G026,Asian/Pacific Islander Male: 62-64 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014G027,Asian/Pacific Islander Male: 65-69 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014G028,Asian/Pacific Islander Male: 70-74 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014G029,Asian/Pacific Islander Male: 75-79 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014G030,Asian/Pacific Islander Male: 80-84 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014G031,Asian/Pacific Islander Male: 85-over,Population Subjects,not required, ,0,int,N/A,N/A
P014H001,Asian/Pacific Islander Female: Under 1 y,Population Subjects,not required, ,0,int,N/A,N/A
P014H002,Asian/Pacific Islander Female: 1-2 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014H003,Asian/Pacific Islander Female: 3-4 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014H004,Asian/Pacific Islander Female: 5 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014H005,Asian/Pacific Islander Female: 6 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014H006,Asian/Pacific Islander Female: 7-9 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014H007,Asian/Pacific Islander Female: 10-11 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014H008,Asian/Pacific Islander Female: 12-13 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014H009,Asian/Pacific Islander Female: 14 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014H010,Asian/Pacific Islander Female: 15 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014H011,Asian/Pacific Islander Female: 16 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014H012,Asian/Pacific Islander Female: 17 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014H013,Asian/Pacific Islander Female: 18 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014H014,Asian/Pacific Islander Female: 19 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014H015,Asian/Pacific Islander Female: 20 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014H016,Asian/Pacific Islander Female: 21 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014H017,Asian/Pacific Islander Female: 22-24 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014H018,Asian/Pacific Islander Female: 25-29 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014H019,Asian/Pacific Islander Female: 30-34 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014H020,Asian/Pacific Islander Female: 35-39 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014H021,Asian/Pacific Islander Female: 40-44 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014H022,Asian/Pacific Islander Female: 45-49 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014H023,Asian/Pacific Islander Female: 50-54 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014H024,Asian/Pacific Islander Female: 55-59 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014H025,Asian/Pacific Islander Female: 60-61 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014H026,Asian/Pacific Islander Female: 62-64 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014H027,Asian/Pacific Islander Female: 65-69 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014H028,Asian/Pacific Islander Female: 70-74 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014H029,Asian/Pacific Islander Female: 75-79 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014H030,Asian/Pacific Islander Female: 80-84 yrs,Population Subjects,not required, ,0,int,N/A,N/A
P014H031,Asian/Pacific Islander Female: 85-over,Population Subjects,not required, ,0,int,N/A,N/A
P014I001,Other race Male: Under 1 year,Population Subjects,not required, ,0,int,N/A,N/A
P014I002,Other race Male: 1 and 2 years,Population Subjects,not required, ,0,int,N/A,N/A
P014I003,Other race Male: 3 and 4 years,Population Subjects,not required, ,0,int,N/A,N/A
P014I004,Other race Male: 5 years,Population Subjects,not required, ,0,int,N/A,N/A
P014I005,Other race Male: 6 years,Population Subjects,not required, ,0,int,N/A,N/A
P014I006,Other race Male: 7 to 9 years,Population Subjects,not required, ,0,int,N/A,N/A
P014I007,Other race Male: 10 and 11 years,Population Subjects,not required, ,0,int,N/A,N/A
P014I008,Other race Male: 12 and 13 years,Population Subjects,not required, ,0,int,N/A,N/A
P014I009,Other race Male: 14 years,Population Subjects,not required, ,0,int,N/A,N/A
P014I010,Other race Male: 15 years,Population Subjects,not required, ,0,int,N/A,N/A
P014I011,Other race Male: 16 years,Population Subjects,not required, ,0,int,N/A,N/A
P014I012,Other race Male: 17 years,Population Subjects,not required, ,0,int,N/A,N/A
P014I013,Other race Male: 18 years,Population Subjects,not required, ,0,int,N/A,N/A
P014I014,Other race Male: 19 years,Population Subjects,not required, ,0,int,N/A,N/A
P014I015,Other race Male: 20 years,Population Subjects,not required, ,0,int,N/A,N/A
P014I016,Other race Male: 21 years,Population Subjects,not required, ,0,int,N/A,N/A
P014I017,Other race Male: 22 to 24 years,Population Subjects,not required, ,0,int,N/A,N/A
P014I018,Other race Male: 25 to 29 years,Population Subjects,not required, ,0,int,N/A,N/A
P014I019,Other race Male: 30 to 34 years,Population Subjects,not required, ,0,int,N/A,N/A
P014I020,Other race Male: 35 to 39 years,Population Subjects,not required, ,0,int,N/A,N/A
P014I021,Other race Male: 40 to 44 years,Population Subjects,not required, ,0,int,N/A,N/A
P014I022,Other race Male: 45 to 49 years,Population Subjects,not required, ,0,int,N/A,N/A
P014I023,Other race Male: 50 to 54 years,Population Subjects,not required, ,0,int,N/A,N/A
P014I024,Other race Male: 55 to 59 years,Population Subjects,not required, ,0,int,N/A,N/A
P014I025,Other race Male: 60 and 61 years,Population Subjects,not required, ,0,int,N/A,N/A
P014I026,Other race Male: 62 to 64 years,Population Subjects,not required, ,0,int,N/A,N/A
P014I027,Other race Male: 65 to 69 years,Population Subjects,not required, ,0,int,N/A,N/A
P014I028,Other race Male: 70 to 74 years,Population Subjects,not required, ,0,int,N/A,N/A
P014I029,Other race Male: 75 to 79 years,Population Subjects,not required, ,0,int,N/A,N/A
P014I030,Other race Male: 80 to 84 years,Population Subjects,not required, ,0,int,N/A,N/A
P014I031,Other race Male: 85 years and over,Population Subjects,not required, ,0,int,N/A,N/A
P014J001,Other race Female: Under 1 year,Population Subjects,not required, ,0,int,N/A,N/A
P014J002,Other race Female: 1 and 2 years,Population Subjects,not required, ,0,int,N/A,N/A
P014J003,Other race Female: 3 and 4 years,Population Subjects,not required, ,0,int,N/A,N/A
P014J004,Other race Female: 5 years,Population Subjects,not required, ,0,int,N/A,N/A
P014J005,Other race Female: 6 years,Population Subjects,not required, ,0,int,N/A,N/A
P014J006,Other race Female: 7 to 9 years,Population Subjects,not required, ,0,int,N/A,N/A
P014J007,Other race Female: 10 and 11 years,Population Subjects,not required, ,0,int,N/A,N/A
P014J008,Other race Female: 12 and 13 years,Population Subjects,not required, ,0,int,N/A,N/A
P014J009,Other race Female: 14 years,Population Subjects,not required, ,0,int,N/A,N/A
P014J010,Other race Female: 15 years,Population Subjects,not required, ,0,int,N/A,N/A
P014J011,Other race Female: 16 years,Population Subjects,not required, ,0,int,N/A,N/A
P014J012,Other race Female: 17 years,Population Subjects,not required, ,0,int,N/A,N/A
P014J013,Other race Female: 18 years,Population Subjects,not required, ,0,int,N/A,N/A
P014J014,Other race Female: 19 years,Population Subjects,not required, ,0,int,N/A,N/A
P014J015,Other race Female: 20 years,Population Subjects,not required, ,0,int,N/A,N/A
P014J016,Other race Female: 21 years,Population Subjects,not required, ,0,int,N/A,N/A
P014J017,Other race Female: 22 to 24 years,Population Subjects,not required, ,0,int,N/A,N/A
P014J018,Other race Female: 25 to 29 years,Population Subjects,not required, ,0,int,N/A,N/A
P014J019,Other race Female: 30 to 34 years,Population Subjects,not required, ,0,int,N/A,N/A
P014J020,Other race Female: 35 to 39 years,Population Subjects,not required, ,0,int,N/A,N/A
P014J021,Other race Female: 40 to 44 years,Population Subjects,not required, ,0,int,N/A,N/A
P014J022,Other race Female: 45 to 49 years,Population Subjects,not required, ,0,int,N/A,N/A
P014J023,Other race Female: 50 to 54 years,Population Subjects,not required, ,0,int,N/A,N/A
P014J024,Other race Female: 55 to 59 years,Population Subjects,not required, ,0,int,N/A,N/A
P014J025,Other race Female: 60 and 61 years,Population Subjects,not required, ,0,int,N/A,N/A
P014J026,Other race Female: 62 to 64 years,Population Subjects,not required, ,0,int,N/A,N/A
P014J027,Other race Female: 65 to 69 years,Population Subjects,not required, ,0,int,N/A,N/A
P014J028,Other race Female: 70 to 74 years,Population Subjects,not required, ,0,int,N/A,N/A
P014J029,Other race Female: 75 to 79 years,Population Subjects,not required, ,0,int,N/A,N/A
P014J030,Other race Female: 80 to 84 years,Population Subjects,not required, ,0,int,N/A,N/A
P014J031,Other race Female: 85 years and over,Population Subjects,not required, ,0,int,N/A,N/A
P015A001,Hispanic origin Male: Under 1 year,Population Subjects,not required, ,0,int,N/A,N/A
P015A002,Hispanic origin Male: 1 and 2 years,Population Subjects,not required, ,0,int,N/A,N/A
P015A003,Hispanic origin Male: 3 and 4 years,Population Subjects,not required, ,0,int,N/A,N/A
P015A004,Hispanic origin Male: 5 years,Population Subjects,not required, ,0,int,N/A,N/A
P015A005,Hispanic origin Male: 6 years,Population Subjects,not required, ,0,int,N/A,N/A
P015A006,Hispanic origin Male: 7 to 9 years,Population Subjects,not required, ,0,int,N/A,N/A
P015A007,Hispanic origin Male: 10 and 11 years,Population Subjects,not required, ,0,int,N/A,N/A
P015A008,Hispanic origin Male: 12 and 13 years,Population Subjects,not required, ,0,int,N/A,N/A
